Epoch 0, Train Loss: 7.495683411086206
Epoch 1, Train Loss: 6.453226154874227
Epoch 2, Train Loss: 6.253210711857108
Epoch 3, Train Loss: 6.104098071894261
Epoch 4, Train Loss: 5.9885377157646404
Epoch 5, Train Loss: 5.8965191266028985
Epoch 6, Train Loss: 5.820889700699642
Epoch 7, Train Loss: 5.759965707974792
Epoch 8, Train Loss: 5.708023612537029
Epoch 9, Train Loss: 5.665964008609974
Epoch 10, Train Loss: 5.629887480640477
Epoch 11, Train Loss: 5.598145971291645
Epoch 12, Train Loss: 5.571196816692181
Epoch 13, Train Loss: 5.547450145469051
Epoch 14, Train Loss: 5.525699863920205
Epoch 15, Train Loss: 5.505725531969129
Epoch 16, Train Loss: 5.488267442425887
Epoch 17, Train Loss: 5.472806369247804
Epoch 18, Train Loss: 5.457804338098969
Epoch 19, Train Loss: 5.444670912810312
Epoch 20, Train Loss: 5.431941526992661
Epoch 21, Train Loss: 5.420808788827992
Epoch 22, Train Loss: 5.409839040899507
Epoch 23, Train Loss: 5.400041481283597
Epoch 24, Train Loss: 5.3908146336356335
Epoch 25, Train Loss: 5.382199130988302
Epoch 26, Train Loss: 5.374036477073812
Epoch 27, Train Loss: 5.3665811428935015
Epoch 28, Train Loss: 5.35975750194263
Epoch 29, Train Loss: 5.352100844879466
Epoch 30, Train Loss: 5.346550726874133
Epoch 31, Train Loss: 5.345124992972649
Epoch 32, Train Loss: 5.3446204499652845
Epoch 33, Train Loss: 5.343984945653473
Epoch 34, Train Loss: 5.343453108566043
Epoch 35, Train Loss: 5.34228172275956
Epoch 36, Train Loss: 5.341309079460076
Epoch 37, Train Loss: 5.341754393114212
Epoch 38, Train Loss: 5.3404119341723435
Epoch 39, Train Loss: 5.339659197917073
Epoch 40, Train Loss: 5.3386936099014966
Epoch 41, Train Loss: 5.338587420139536
Epoch 42, Train Loss: 5.338003689301252
Epoch 43, Train Loss: 5.337672313766427
Epoch 44, Train Loss: 5.336070127441175
Epoch 45, Train Loss: 5.335086305251539
Epoch 46, Train Loss: 5.335317076690274
Epoch 47, Train Loss: 5.334425785227696
Epoch 48, Train Loss: 5.334053186118233
Epoch 49, Train Loss: 5.332885259106437
Epoch 50, Train Loss: 5.333194928198827
Epoch 51, Train Loss: 5.332022972225239
Epoch 52, Train Loss: 5.3319669013020095
Epoch 53, Train Loss: 5.330632412869054
Epoch 54, Train Loss: 5.330293947544532
Epoch 55, Train Loss: 5.329446662137789
Epoch 56, Train Loss: 5.329720667359913
Epoch 57, Train Loss: 5.328791170100522
Epoch 58, Train Loss: 5.327828261377399
Epoch 59, Train Loss: 5.32745047226846
Epoch 60, Train Loss: 5.32699401061507
Epoch 61, Train Loss: 5.327266116375598
Epoch 62, Train Loss: 5.326402957319474
Epoch 63, Train Loss: 5.32670294967378
Epoch 64, Train Loss: 5.326826401861021
Epoch 65, Train Loss: 5.326463495592344
Epoch 66, Train Loss: 5.326649473914601
Epoch 67, Train Loss: 5.327158812569553
Epoch 68, Train Loss: 5.3271158847375055
Epoch 69, Train Loss: 5.325820081567534
Epoch 70, Train Loss: 5.326134797378214
Epoch 71, Train Loss: 5.326938076071867
Epoch 72, Train Loss: 5.326332973004373
Epoch 73, Train Loss: 5.325842383481321
Epoch 74, Train Loss: 5.326520028893164
Epoch 75, Train Loss: 5.325978039544998
Epoch 76, Train Loss: 5.32567499260669
Epoch 77, Train Loss: 5.326238118558814
Epoch 78, Train Loss: 5.325572537357112
Epoch 79, Train Loss: 5.326113748846179
Epoch 80, Train Loss: 5.325849875838571
Epoch 81, Train Loss: 5.326141529293573
Epoch 82, Train Loss: 5.326031243858627
Epoch 83, Train Loss: 5.325557749161303
Epoch 84, Train Loss: 5.325716714379214
Epoch 85, Train Loss: 5.325159319345906
Epoch 86, Train Loss: 5.325226297385113
Epoch 87, Train Loss: 5.325836910862992
Epoch 88, Train Loss: 5.325089883508557
Epoch 89, Train Loss: 5.324803920551303
Epoch 90, Train Loss: 5.325399737289081
Epoch 91, Train Loss: 5.325522546354119
Epoch 92, Train Loss: 5.325052610025334
Epoch 93, Train Loss: 5.325235605075555
Epoch 94, Train Loss: 5.3250444544996585
Epoch 95, Train Loss: 5.325261809429902
Epoch 96, Train Loss: 5.324477758019813
Epoch 97, Train Loss: 5.32500183360483
Epoch 98, Train Loss: 5.324552870223967
Epoch 99, Train Loss: 5.324934330748986
Epoch 100, Train Loss: 5.324839224904098
Epoch 101, Train Loss: 5.325162602325376
Epoch 102, Train Loss: 5.324978667731782
Epoch 103, Train Loss: 5.325794545311011
Epoch 104, Train Loss: 5.325295537689651
Epoch 105, Train Loss: 5.3256321883382345
Epoch 106, Train Loss: 5.324977160650315
Epoch 107, Train Loss: 5.325295296149119
Epoch 108, Train Loss: 5.325293926762187
Epoch 109, Train Loss: 5.324775989264311
Epoch 110, Train Loss: 5.325315541517808
