Epoch 0, Train Loss: 3.457881025820912
Epoch 1, Train Loss: 2.931458380139075
Epoch 2, Train Loss: 2.870540184523836
Epoch 3, Train Loss: 2.806146705136574
Epoch 4, Train Loss: 2.7205799658563192
Epoch 5, Train Loss: 2.598605523440547
Epoch 6, Train Loss: 2.5363276365833127
Epoch 7, Train Loss: 2.4979462532868055
Epoch 8, Train Loss: 2.4698573328925844
Epoch 9, Train Loss: 2.4473437369688207
Epoch 10, Train Loss: 2.4282225151069494
Epoch 11, Train Loss: 2.4116049244058697
Epoch 12, Train Loss: 2.3968283629688667
Epoch 13, Train Loss: 2.383895991970016
Epoch 14, Train Loss: 2.3721859394311435
Epoch 15, Train Loss: 2.3619982220697233
Epoch 16, Train Loss: 2.3525397519403084
Epoch 17, Train Loss: 2.3440175946902744
Epoch 18, Train Loss: 2.336149068943142
Epoch 19, Train Loss: 2.32950237424947
Epoch 20, Train Loss: 2.3228782116548365
Epoch 21, Train Loss: 2.3170411633528554
Epoch 22, Train Loss: 2.3115735036244622
Epoch 23, Train Loss: 2.306440751942619
Epoch 24, Train Loss: 2.301640683316679
Epoch 25, Train Loss: 2.2972383600162405
Epoch 26, Train Loss: 2.292824232330412
Epoch 27, Train Loss: 2.2884872338499638
Epoch 28, Train Loss: 2.284598123985162
Epoch 29, Train Loss: 2.2809537882522397
Epoch 30, Train Loss: 2.277785704621337
Epoch 31, Train Loss: 2.2769854093074984
Epoch 32, Train Loss: 2.2767256090995516
Epoch 33, Train Loss: 2.276426891852192
Epoch 34, Train Loss: 2.2759309451970084
Epoch 35, Train Loss: 2.275630468197924
Epoch 36, Train Loss: 2.275171079837654
Epoch 37, Train Loss: 2.2748858292648118
Epoch 38, Train Loss: 2.274499214878733
Epoch 39, Train Loss: 2.2742531230375786
Epoch 40, Train Loss: 2.273774808226683
Epoch 41, Train Loss: 2.273403619401078
Epoch 42, Train Loss: 2.273139553474136
Epoch 43, Train Loss: 2.2727463580244147
Epoch 44, Train Loss: 2.272371842936938
Epoch 45, Train Loss: 2.271858831722159
Epoch 46, Train Loss: 2.271636686497176
Epoch 47, Train Loss: 2.271221499201736
Epoch 48, Train Loss: 2.270951780070039
Epoch 49, Train Loss: 2.2707377273272233
Epoch 50, Train Loss: 2.270554696218132
Epoch 51, Train Loss: 2.270071245539932
Epoch 52, Train Loss: 2.2698230854713857
Epoch 53, Train Loss: 2.269483750452945
Epoch 54, Train Loss: 2.2691226200105254
Epoch 55, Train Loss: 2.268828466762604
Epoch 56, Train Loss: 2.268446340893895
Epoch 57, Train Loss: 2.2681588770221754
Epoch 58, Train Loss: 2.2677510464691846
Epoch 59, Train Loss: 2.2675851238807447
Epoch 60, Train Loss: 2.267228103516475
Epoch 61, Train Loss: 2.26715934898583
Epoch 62, Train Loss: 2.2672380276781383
Epoch 63, Train Loss: 2.2671881527375035
Epoch 64, Train Loss: 2.2671488180680575
Epoch 65, Train Loss: 2.2671511268653135
Epoch 66, Train Loss: 2.267040483621393
Epoch 67, Train Loss: 2.267071407418384
Epoch 68, Train Loss: 2.266711381240282
Epoch 69, Train Loss: 2.266931102433921
Epoch 70, Train Loss: 2.2667975990666553
Epoch 71, Train Loss: 2.26680864937963
Epoch 72, Train Loss: 2.266787441069587
Epoch 73, Train Loss: 2.266809412244256
Epoch 74, Train Loss: 2.2665971735965136
Epoch 75, Train Loss: 2.2666308220436453
Epoch 76, Train Loss: 2.2664534477871414
Epoch 77, Train Loss: 2.2666520241804338
Epoch 78, Train Loss: 2.2665099126771646
Epoch 79, Train Loss: 2.2664681054321445
Epoch 80, Train Loss: 2.2663944371778295
Epoch 81, Train Loss: 2.2665297277023297
Epoch 82, Train Loss: 2.266422881384184
Epoch 83, Train Loss: 2.2664593571819664
Epoch 84, Train Loss: 2.266168015758025
Epoch 85, Train Loss: 2.2664648266856275
Epoch 86, Train Loss: 2.2661380191651825
Epoch 87, Train Loss: 2.2662299427625103
Epoch 88, Train Loss: 2.266055324209489
Epoch 89, Train Loss: 2.2661412707867927
Epoch 90, Train Loss: 2.266097176070305
Epoch 91, Train Loss: 2.266084548771358
Epoch 92, Train Loss: 2.2661911894078814
Epoch 93, Train Loss: 2.2662091205614883
Epoch 94, Train Loss: 2.266102440921219
Epoch 95, Train Loss: 2.2659974402191594
Epoch 96, Train Loss: 2.265942480387338
Epoch 97, Train Loss: 2.2659759203468224
Epoch 98, Train Loss: 2.2660601274693137
Epoch 99, Train Loss: 2.265992062846648
Epoch 100, Train Loss: 2.2661432317305006
Epoch 101, Train Loss: 2.2660980039411736
Epoch 102, Train Loss: 2.266084158079163
