Epoch 0, Train Loss: 2.843567071030214
Epoch 1, Train Loss: 2.517389406265582
Epoch 2, Train Loss: 2.440251234981676
Epoch 3, Train Loss: 2.3909518309975195
Epoch 4, Train Loss: 2.358742577274812
Epoch 5, Train Loss: 2.333635294844282
Epoch 6, Train Loss: 2.312204739494668
Epoch 7, Train Loss: 2.2933941270005893
Epoch 8, Train Loss: 2.276783665286274
Epoch 9, Train Loss: 2.2632301465442666
Epoch 10, Train Loss: 2.2513945561944384
Epoch 11, Train Loss: 2.24132083462191
Epoch 12, Train Loss: 2.2325208807234764
Epoch 13, Train Loss: 2.224238980372965
Epoch 14, Train Loss: 2.216822860380302
Epoch 15, Train Loss: 2.210083624202628
Epoch 16, Train Loss: 2.2038491336258312
Epoch 17, Train Loss: 2.1978559760590914
Epoch 18, Train Loss: 2.1922307264201546
Epoch 19, Train Loss: 2.186978480450169
Epoch 20, Train Loss: 2.182093582044821
Epoch 21, Train Loss: 2.177590212760228
Epoch 22, Train Loss: 2.1733201356343823
Epoch 23, Train Loss: 2.1692121875384314
Epoch 24, Train Loss: 2.1652877344810153
Epoch 25, Train Loss: 2.1618561984137394
Epoch 26, Train Loss: 2.1582866113482386
Epoch 27, Train Loss: 2.1548753744389506
Epoch 28, Train Loss: 2.1515090148464844
Epoch 29, Train Loss: 2.1485252024005934
Epoch 30, Train Loss: 2.1401597885769363
Epoch 31, Train Loss: 2.139219755937465
Epoch 32, Train Loss: 2.1388733173735517
Epoch 33, Train Loss: 2.138597621595967
Epoch 34, Train Loss: 2.137930309599453
Epoch 35, Train Loss: 2.1375057491520986
Epoch 36, Train Loss: 2.137060322121762
Epoch 37, Train Loss: 2.136820986580503
Epoch 38, Train Loss: 2.136401918225309
Epoch 39, Train Loss: 2.136129146559466
Epoch 40, Train Loss: 2.1361072115825177
Epoch 41, Train Loss: 2.135517581952418
Epoch 42, Train Loss: 2.135125734236438
Epoch 43, Train Loss: 2.13483713471969
Epoch 44, Train Loss: 2.1345848941765566
Epoch 45, Train Loss: 2.134280842395332
Epoch 46, Train Loss: 2.1337847325698025
Epoch 47, Train Loss: 2.1335025868634703
Epoch 48, Train Loss: 2.133342995649228
Epoch 49, Train Loss: 2.132899168473966
Epoch 50, Train Loss: 2.1327088051283765
Epoch 51, Train Loss: 2.132423714779554
Epoch 52, Train Loss: 2.131947596571688
Epoch 53, Train Loss: 2.1316555269375272
Epoch 54, Train Loss: 2.1315348269005017
Epoch 55, Train Loss: 2.1311205335110484
Epoch 56, Train Loss: 2.1311041740119667
Epoch 57, Train Loss: 2.130654043335688
Epoch 58, Train Loss: 2.1303196469677714
Epoch 59, Train Loss: 2.1300015833949333
Epoch 60, Train Loss: 2.1290943659535104
Epoch 61, Train Loss: 2.1288931323014415
Epoch 62, Train Loss: 2.128932256612557
Epoch 63, Train Loss: 2.128926719670765
Epoch 64, Train Loss: 2.129040507299379
Epoch 65, Train Loss: 2.128973860514309
Epoch 66, Train Loss: 2.128731293274216
Epoch 67, Train Loss: 2.1286009724535817
Epoch 68, Train Loss: 2.1286988081114577
Epoch 69, Train Loss: 2.1287966171120978
Epoch 70, Train Loss: 2.128523361921404
Epoch 71, Train Loss: 2.128521368427808
Epoch 72, Train Loss: 2.128536694655001
Epoch 73, Train Loss: 2.1285001646074044
Epoch 74, Train Loss: 2.1286556902189915
Epoch 75, Train Loss: 2.128565933714665
Epoch 76, Train Loss: 2.1283597861050905
Epoch 77, Train Loss: 2.128388734554113
Epoch 78, Train Loss: 2.1283805380619567
Epoch 79, Train Loss: 2.128299648689728
Epoch 80, Train Loss: 2.12825735450586
Epoch 81, Train Loss: 2.1283587996002833
Epoch 82, Train Loss: 2.1284287783060414
Epoch 83, Train Loss: 2.128259778022766
Epoch 84, Train Loss: 2.1280940435782933
Epoch 85, Train Loss: 2.1280020434700213
Epoch 86, Train Loss: 2.1281864680510587
Epoch 87, Train Loss: 2.128121401104753
Epoch 88, Train Loss: 2.127983249417002
Epoch 89, Train Loss: 2.1282081891621454
Epoch 90, Train Loss: 2.1276153503281785
Epoch 91, Train Loss: 2.127891776093131
Epoch 92, Train Loss: 2.127994600676143
Epoch 93, Train Loss: 2.1279980586341147
Epoch 94, Train Loss: 2.1277880429192684
Epoch 95, Train Loss: 2.1277870458918677
Epoch 96, Train Loss: 2.1279873992471705
Epoch 97, Train Loss: 2.127768313244026
Epoch 98, Train Loss: 2.127759327604145
Epoch 99, Train Loss: 2.127833785240021
Epoch 100, Train Loss: 2.1278078686073276
Epoch 101, Train Loss: 2.1278784664157047
